name,resource_type,latitude,longitude,capabilities,equipment,capacity,organization,trust_level
Gilgit Ambulance 030 (DEMO),Ambulance,35.939137,74.309138,emergency medical transport,first aid|stretcher|oxygen,1,Gilgit-Baltistan Emergency Services (DEMO),DEMO
Turbat Ambulance 031 (DEMO),Ambulance,25.988191,63.069726,emergency medical transport,first aid|stretcher|oxygen,2,Balochistan Emergency Services (DEMO),DEMO
Hyderabad Ambulance 032 (DEMO),Ambulance,25.414376,68.360557,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Sialkot Ambulance 033 (DEMO),Ambulance,32.493702,74.495731,emergency medical transport,first aid|stretcher|oxygen,3,Punjab Emergency Services (DEMO),DEMO
Khuzdar Ambulance 034 (DEMO),Ambulance,27.823217,66.603226,emergency medical transport,first aid|stretcher|oxygen,1,Balochistan Emergency Services (DEMO),DEMO
Nawabshah Ambulance 035 (DEMO),Ambulance,26.248915,68.380513,emergency medical transport,first aid|stretcher|oxygen,4,Sindh Emergency Services (DEMO),DEMO
Dera Ismail Khan Ambulance 036 (DEMO),Ambulance,31.864959,70.903989,emergency medical transport,first aid|stretcher|oxygen,2,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Karachi Ambulance 037 (DEMO),Ambulance,24.85897,67.004586,emergency medical transport,first aid|stretcher|oxygen,3,Sindh Emergency Services (DEMO),DEMO
Multan Ambulance 038 (DEMO),Ambulance,30.164962,71.557405,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Peshawar Ambulance 039 (DEMO),Ambulance,34.008029,71.536918,emergency medical transport,first aid|stretcher|oxygen,3,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Rawalpindi Ambulance 040 (DEMO),Ambulance,33.56633,72.99037,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Karachi Ambulance 041 (DEMO),Ambulance,24.827172,67.004875,emergency medical transport,first aid|stretcher|oxygen,2,Sindh Emergency Services (DEMO),DEMO
Karachi Ambulance 042 (DEMO),Ambulance,24.875249,66.970221,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Islamabad Ambulance 043 (DEMO),Ambulance,33.709574,73.01786,emergency medical transport,first aid|stretcher|oxygen,2,ICT Emergency Services (DEMO),DEMO
Lahore Ambulance 044 (DEMO),Ambulance,31.548679,74.346346,emergency medical transport,first aid|stretcher|oxygen,4,Punjab Emergency Services (DEMO),DEMO
Mirpur Khas Ambulance 045 (DEMO),Ambulance,25.525008,69.004494,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Karachi Ambulance 046 (DEMO),Ambulance,24.855874,66.995751,emergency medical transport,first aid|stretcher|oxygen,4,Sindh Emergency Services (DEMO),DEMO
Turbat Ambulance 047 (DEMO),Ambulance,25.971092,63.070742,emergency medical transport,first aid|stretcher|oxygen,1,Balochistan Emergency Services (DEMO),DEMO
Karachi Ambulance 048 (DEMO),Ambulance,24.876675,67.022141,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Mirpur Khas Ambulance 049 (DEMO),Ambulance,25.505215,69.007403,emergency medical transport,first aid|stretcher|oxygen,4,Sindh Emergency Services (DEMO),DEMO
Hyderabad Ambulance 050 (DEMO),Ambulance,25.393384,68.384014,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Faisalabad Ambulance 051 (DEMO),Ambulance,31.475694,73.138523,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Sargodha Ambulance 052 (DEMO),Ambulance,32.086441,72.637133,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Islamabad Ambulance 053 (DEMO),Ambulance,33.708809,73.024542,emergency medical transport,first aid|stretcher|oxygen,4,ICT Emergency Services (DEMO),DEMO
Faisalabad Ambulance 054 (DEMO),Ambulance,31.475926,73.163171,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Rawalpindi Ambulance 055 (DEMO),Ambulance,33.599072,73.000464,emergency medical transport,first aid|stretcher|oxygen,4,Punjab Emergency Services (DEMO),DEMO
Lahore Ambulance 056 (DEMO),Ambulance,31.563461,74.359735,emergency medical transport,first aid|stretcher|oxygen,4,Punjab Emergency Services (DEMO),DEMO
Hyderabad Ambulance 057 (DEMO),Ambulance,25.38177,68.39061,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Abbottabad Ambulance 058 (DEMO),Ambulance,34.137802,73.227392,emergency medical transport,first aid|stretcher|oxygen,2,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Karachi Ambulance 059 (DEMO),Ambulance,24.861248,67.025694,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Sialkot Ambulance 060 (DEMO),Ambulance,32.506765,74.504364,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Islamabad Ambulance 061 (DEMO),Ambulance,33.689277,73.053424,emergency medical transport,first aid|stretcher|oxygen,1,ICT Emergency Services (DEMO),DEMO
Bahawalpur Ambulance 062 (DEMO),Ambulance,29.389946,71.689457,emergency medical transport,first aid|stretcher|oxygen,3,Punjab Emergency Services (DEMO),DEMO
Islamabad Ambulance 063 (DEMO),Ambulance,33.663698,73.063033,emergency medical transport,first aid|stretcher|oxygen,2,ICT Emergency Services (DEMO),DEMO
Lahore Ambulance 064 (DEMO),Ambulance,31.523861,74.353785,emergency medical transport,first aid|stretcher|oxygen,4,Punjab Emergency Services (DEMO),DEMO
Lahore Ambulance 065 (DEMO),Ambulance,31.567331,74.313678,emergency medical transport,first aid|stretcher|oxygen,4,Punjab Emergency Services (DEMO),DEMO
Bahawalpur Ambulance 066 (DEMO),Ambulance,29.40001,71.655599,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Multan Ambulance 067 (DEMO),Ambulance,30.131772,71.514331,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Khuzdar Ambulance 068 (DEMO),Ambulance,27.790867,66.592742,emergency medical transport,first aid|stretcher|oxygen,3,Balochistan Emergency Services (DEMO),DEMO
Sialkot Ambulance 069 (DEMO),Ambulance,32.528606,74.533678,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Dera Ghazi Khan Ambulance 070 (DEMO),Ambulance,30.059922,70.665023,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Islamabad Ambulance 071 (DEMO),Ambulance,33.6588,73.02098,emergency medical transport,first aid|stretcher|oxygen,1,ICT Emergency Services (DEMO),DEMO
Mardan Ambulance 072 (DEMO),Ambulance,34.174781,72.007823,emergency medical transport,first aid|stretcher|oxygen,2,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Peshawar Ambulance 073 (DEMO),Ambulance,33.994352,71.534297,emergency medical transport,first aid|stretcher|oxygen,3,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Multan Ambulance 074 (DEMO),Ambulance,30.140078,71.553471,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Karachi Ambulance 075 (DEMO),Ambulance,24.85535,66.985468,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Lahore Ambulance 076 (DEMO),Ambulance,31.523857,74.377186,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Mardan Ambulance 077 (DEMO),Ambulance,34.202518,72.018038,emergency medical transport,first aid|stretcher|oxygen,1,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Karachi Ambulance 078 (DEMO),Ambulance,24.891854,67.014471,emergency medical transport,first aid|stretcher|oxygen,2,Sindh Emergency Services (DEMO),DEMO
Gujranwala Ambulance 079 (DEMO),Ambulance,32.211122,74.200276,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Rawalpindi Ambulance 080 (DEMO),Ambulance,33.533028,73.007426,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Islamabad Ambulance 081 (DEMO),Ambulance,33.664105,73.030367,emergency medical transport,first aid|stretcher|oxygen,1,ICT Emergency Services (DEMO),DEMO
Lahore Ambulance 082 (DEMO),Ambulance,31.553892,74.36983,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Islamabad Ambulance 083 (DEMO),Ambulance,33.665972,73.024275,emergency medical transport,first aid|stretcher|oxygen,2,ICT Emergency Services (DEMO),DEMO
Khuzdar Ambulance 084 (DEMO),Ambulance,27.766735,66.63326,emergency medical transport,first aid|stretcher|oxygen,3,Balochistan Emergency Services (DEMO),DEMO
Swat Ambulance 085 (DEMO),Ambulance,35.21652,72.437693,emergency medical transport,first aid|stretcher|oxygen,2,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Lahore Ambulance 086 (DEMO),Ambulance,31.569816,74.316167,emergency medical transport,first aid|stretcher|oxygen,1,Punjab Emergency Services (DEMO),DEMO
Gwadar Ambulance 087 (DEMO),Ambulance,25.10697,62.344661,emergency medical transport,first aid|stretcher|oxygen,4,Balochistan Emergency Services (DEMO),DEMO
Lahore Ambulance 088 (DEMO),Ambulance,31.572138,74.369593,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Karachi Ambulance 089 (DEMO),Ambulance,24.839219,66.989078,emergency medical transport,first aid|stretcher|oxygen,1,Sindh Emergency Services (DEMO),DEMO
Gilgit Ambulance 090 (DEMO),Ambulance,35.905339,74.318504,emergency medical transport,first aid|stretcher|oxygen,4,Gilgit-Baltistan Emergency Services (DEMO),DEMO
Peshawar Ambulance 091 (DEMO),Ambulance,34.039156,71.51308,emergency medical transport,first aid|stretcher|oxygen,1,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Karachi Ambulance 092 (DEMO),Ambulance,24.893628,66.9786,emergency medical transport,first aid|stretcher|oxygen,3,Sindh Emergency Services (DEMO),DEMO
Karachi Ambulance 093 (DEMO),Ambulance,24.86746,66.990298,emergency medical transport,first aid|stretcher|oxygen,3,Sindh Emergency Services (DEMO),DEMO
Rawalpindi Ambulance 094 (DEMO),Ambulance,33.598997,72.989995,emergency medical transport,first aid|stretcher|oxygen,2,Punjab Emergency Services (DEMO),DEMO
Mirpur Khas Ambulance 095 (DEMO),Ambulance,25.541515,68.976118,emergency medical transport,first aid|stretcher|oxygen,2,Sindh Emergency Services (DEMO),DEMO
Lahore Ambulance 096 (DEMO),Ambulance,31.519598,74.355097,emergency medical transport,first aid|stretcher|oxygen,3,Punjab Emergency Services (DEMO),DEMO
Bahawalpur Ambulance 097 (DEMO),Ambulance,29.407037,71.657324,emergency medical transport,first aid|stretcher|oxygen,3,Punjab Emergency Services (DEMO),DEMO
Multan Ambulance 098 (DEMO),Ambulance,30.169183,71.512733,emergency medical transport,first aid|stretcher|oxygen,3,Punjab Emergency Services (DEMO),DEMO
Gujranwala Ambulance 099 (DEMO),Ambulance,32.166129,74.206045,emergency medical transport,first aid|stretcher|oxygen,4,Punjab Emergency Services (DEMO),DEMO
Peshawar Ambulance 100 (DEMO),Ambulance,34.043296,71.532986,emergency medical transport,first aid|stretcher|oxygen,3,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Rawalpindi Search & Rescue Team 001 (DEMO),Search & Rescue Team,33.588461,73.003171,urban search and rescue,cutting tools|thermal camera|rescue equipment,5,Punjab Emergency Services (DEMO),DEMO
Rawalpindi Search & Rescue Team 002 (DEMO),Search & Rescue Team,33.570699,73.027729,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Punjab Emergency Services (DEMO),DEMO
Faisalabad Search & Rescue Team 003 (DEMO),Search & Rescue Team,31.462694,73.135782,urban search and rescue,cutting tools|thermal camera|rescue equipment,5,Punjab Emergency Services (DEMO),DEMO
Dera Ghazi Khan Search & Rescue Team 004 (DEMO),Search & Rescue Team,30.040965,70.64627,urban search and rescue,cutting tools|thermal camera|rescue equipment,6,Punjab Emergency Services (DEMO),DEMO
Karachi Search & Rescue Team 005 (DEMO),Search & Rescue Team,24.89234,66.982541,urban search and rescue,cutting tools|thermal camera|rescue equipment,6,Sindh Emergency Services (DEMO),DEMO
Nawabshah Search & Rescue Team 006 (DEMO),Search & Rescue Team,26.223139,68.37671,urban search and rescue,cutting tools|thermal camera|rescue equipment,5,Sindh Emergency Services (DEMO),DEMO
Skardu Search & Rescue Team 007 (DEMO),Search & Rescue Team,35.304889,75.652094,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Gilgit-Baltistan Emergency Services (DEMO),DEMO
Rawalpindi Search & Rescue Team 008 (DEMO),Search & Rescue Team,33.574184,72.99551,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Punjab Emergency Services (DEMO),DEMO
Faisalabad Search & Rescue Team 009 (DEMO),Search & Rescue Team,31.432479,73.145924,urban search and rescue,cutting tools|thermal camera|rescue equipment,4,Punjab Emergency Services (DEMO),DEMO
Khuzdar Search & Rescue Team 010 (DEMO),Search & Rescue Team,27.825231,66.643683,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Balochistan Emergency Services (DEMO),DEMO
Larkana Search & Rescue Team 011 (DEMO),Search & Rescue Team,27.580288,68.226014,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Sindh Emergency Services (DEMO),DEMO
Karachi Search & Rescue Team 012 (DEMO),Search & Rescue Team,24.843144,67.025484,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Sindh Emergency Services (DEMO),DEMO
Karachi Search & Rescue Team 013 (DEMO),Search & Rescue Team,24.858225,67.003279,urban search and rescue,cutting tools|thermal camera|rescue equipment,6,Sindh Emergency Services (DEMO),DEMO
Muzaffarabad Search & Rescue Team 014 (DEMO),Search & Rescue Team,34.3974,73.478986,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,AJK Emergency Services (DEMO),DEMO
Quetta Search & Rescue Team 015 (DEMO),Search & Rescue Team,30.183151,67.002805,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Balochistan Emergency Services (DEMO),DEMO
Faisalabad Search & Rescue Team 016 (DEMO),Search & Rescue Team,31.468024,73.15879,urban search and rescue,cutting tools|thermal camera|rescue equipment,6,Punjab Emergency Services (DEMO),DEMO
Abbottabad Search & Rescue Team 017 (DEMO),Search & Rescue Team,34.170291,73.230372,urban search and rescue,cutting tools|thermal camera|rescue equipment,6,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Faisalabad Search & Rescue Team 018 (DEMO),Search & Rescue Team,31.465348,73.116415,urban search and rescue,cutting tools|thermal camera|rescue equipment,6,Punjab Emergency Services (DEMO),DEMO
Lahore Search & Rescue Team 019 (DEMO),Search & Rescue Team,31.552511,74.318286,urban search and rescue,cutting tools|thermal camera|rescue equipment,5,Punjab Emergency Services (DEMO),DEMO
Rawalpindi Search & Rescue Team 020 (DEMO),Search & Rescue Team,33.540796,72.996877,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,Punjab Emergency Services (DEMO),DEMO
Rawalpindi Search & Rescue Team 021 (DEMO),Search & Rescue Team,33.568083,73.011004,urban search and rescue,cutting tools|thermal camera|rescue equipment,5,Punjab Emergency Services (DEMO),DEMO
Quetta Search & Rescue Team 022 (DEMO),Search & Rescue Team,30.172063,66.993886,urban search and rescue,cutting tools|thermal camera|rescue equipment,4,Balochistan Emergency Services (DEMO),DEMO
Gwadar Search & Rescue Team 023 (DEMO),Search & Rescue Team,25.144992,62.314127,urban search and rescue,cutting tools|thermal camera|rescue equipment,4,Balochistan Emergency Services (DEMO),DEMO
Islamabad Search & Rescue Team 024 (DEMO),Search & Rescue Team,33.670303,73.040199,urban search and rescue,cutting tools|thermal camera|rescue equipment,8,ICT Emergency Services (DEMO),DEMO
Multan Search & Rescue Team 025 (DEMO),Search & Rescue Team,30.173924,71.545891,urban search and rescue,cutting tools|thermal camera|rescue equipment,5,Punjab Emergency Services (DEMO),DEMO
Faisalabad Rescue Team 001 (DEMO),Rescue Team,31.434505,73.133995,general emergency rescue,rope rescue|first aid|water rescue equipment,8,Punjab Emergency Services (DEMO),DEMO
Lahore Rescue Team 002 (DEMO),Rescue Team,31.56224,74.336902,general emergency rescue,rope rescue|first aid|water rescue equipment,5,Punjab Emergency Services (DEMO),DEMO
Quetta Rescue Team 003 (DEMO),Rescue Team,30.209168,67.008651,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Balochistan Emergency Services (DEMO),DEMO
Islamabad Rescue Team 004 (DEMO),Rescue Team,33.690832,73.05931,general emergency rescue,rope rescue|first aid|water rescue equipment,4,ICT Emergency Services (DEMO),DEMO
Sargodha Rescue Team 005 (DEMO),Rescue Team,32.058099,72.668419,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Punjab Emergency Services (DEMO),DEMO
Mirpur Khas Rescue Team 006 (DEMO),Rescue Team,25.514815,69.007829,general emergency rescue,rope rescue|first aid|water rescue equipment,6,Sindh Emergency Services (DEMO),DEMO
Abbottabad Rescue Team 007 (DEMO),Rescue Team,34.160339,73.239141,general emergency rescue,rope rescue|first aid|water rescue equipment,8,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Mirpur Khas Rescue Team 008 (DEMO),Rescue Team,25.497633,68.977357,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Sindh Emergency Services (DEMO),DEMO
Skardu Rescue Team 009 (DEMO),Rescue Team,35.286597,75.64381,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Gilgit-Baltistan Emergency Services (DEMO),DEMO
Abbottabad Rescue Team 010 (DEMO),Rescue Team,34.200273,73.200455,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Bahawalpur Rescue Team 011 (DEMO),Rescue Team,29.377298,71.681749,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Punjab Emergency Services (DEMO),DEMO
Gujranwala Rescue Team 012 (DEMO),Rescue Team,32.167958,74.208463,general emergency rescue,rope rescue|first aid|water rescue equipment,6,Punjab Emergency Services (DEMO),DEMO
Hyderabad Rescue Team 013 (DEMO),Rescue Team,25.403507,68.375155,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Sindh Emergency Services (DEMO),DEMO
Swat Rescue Team 014 (DEMO),Rescue Team,35.199164,72.412573,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Islamabad Rescue Team 015 (DEMO),Rescue Team,33.689706,73.076462,general emergency rescue,rope rescue|first aid|water rescue equipment,8,ICT Emergency Services (DEMO),DEMO
Rawalpindi Rescue Team 016 (DEMO),Rescue Team,33.580151,72.98722,general emergency rescue,rope rescue|first aid|water rescue equipment,5,Punjab Emergency Services (DEMO),DEMO
Karachi Rescue Team 017 (DEMO),Rescue Team,24.879774,67.025621,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Sindh Emergency Services (DEMO),DEMO
Kohat Rescue Team 018 (DEMO),Rescue Team,33.586515,71.417575,general emergency rescue,rope rescue|first aid|water rescue equipment,8,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Dera Ghazi Khan Rescue Team 019 (DEMO),Rescue Team,30.025927,70.645128,general emergency rescue,rope rescue|first aid|water rescue equipment,4,Punjab Emergency Services (DEMO),DEMO
Gwadar Rescue Team 020 (DEMO),Rescue Team,25.148963,62.294888,general emergency rescue,rope rescue|first aid|water rescue equipment,6,Balochistan Emergency Services (DEMO),DEMO
Sargodha Rescue Team 021 (DEMO),Rescue Team,32.10661,72.685612,general emergency rescue,rope rescue|first aid|water rescue equipment,8,Punjab Emergency Services (DEMO),DEMO
Hyderabad Rescue Team 022 (DEMO),Rescue Team,25.397522,68.368332,general emergency rescue,rope rescue|first aid|water rescue equipment,8,Sindh Emergency Services (DEMO),DEMO
Faisalabad Rescue Team 023 (DEMO),Rescue Team,31.473201,73.141473,general emergency rescue,rope rescue|first aid|water rescue equipment,6,Punjab Emergency Services (DEMO),DEMO
Gwadar Rescue Team 024 (DEMO),Rescue Team,25.149551,62.293566,general emergency rescue,rope rescue|first aid|water rescue equipment,8,Balochistan Emergency Services (DEMO),DEMO
Mirpur Khas Rescue Team 025 (DEMO),Rescue Team,25.52443,69.018723,general emergency rescue,rope rescue|first aid|water rescue equipment,8,Sindh Emergency Services (DEMO),DEMO
Lahore Fire Unit 001 (DEMO),Fire Unit,31.549301,74.331351,fire suppression,fire hose|water tank|fire suppression equipment,5,Punjab Emergency Services (DEMO),DEMO
Larkana Fire Unit 002 (DEMO),Fire Unit,27.579848,68.201124,fire suppression,fire hose|water tank|fire suppression equipment,6,Sindh Emergency Services (DEMO),DEMO
Peshawar Fire Unit 003 (DEMO),Fire Unit,33.999439,71.490611,fire suppression,fire hose|water tank|fire suppression equipment,4,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Karachi Fire Unit 004 (DEMO),Fire Unit,24.876105,67.0003,fire suppression,fire hose|water tank|fire suppression equipment,4,Sindh Emergency Services (DEMO),DEMO
Peshawar Fire Unit 005 (DEMO),Fire Unit,34.025313,71.524257,fire suppression,fire hose|water tank|fire suppression equipment,4,Khyber Pakhtunkhwa Emergency Services (DEMO),DEMO
Karachi Fire Unit 006 (DEMO),Fire Unit,24.841212,67.014525,fire suppression,fire hose|water tank|fire suppression equipment,5,Sindh Emergency Services (DEMO),DEMO
Dera Ghazi Khan Fire Unit 007 (DEMO),Fire Unit,30.046931,70.638543,fire suppression,fire hose|water tank|fire suppression equipment,5,Punjab Emergency Services (DEMO),DEMO
Rawalpindi Fire Unit 008 (DEMO),Fire Unit,33.582315,73.005055,fire suppression,fire hose|water tank|fire suppression equipment,6,Punjab Emergency Services (DEMO),DEMO
Faisalabad Fire Unit 009 (DEMO),Fire Unit,31.436864,73.116138,fire suppression,fire hose|water tank|fire suppression equipment,6,Punjab Emergency Services (DEMO),DEMO
Sukkur Fire Unit 010 (DEMO),Fire Unit,27.697769,68.82531,fire suppression,fire hose|water tank|fire suppression equipment,6,Sindh Emergency Services (DEMO),DEMO
Hyderabad Fire Unit 011 (DEMO),Fire Unit,25.376147,68.356694,fire suppression,fire hose|water tank|fire suppression equipment,6,Sindh Emergency Services (DEMO),DEMO
Sialkot Fire Unit 012 (DEMO),Fire Unit,32.512715,74.529675,fire suppression,fire hose|water tank|fire suppression equipment,4,Punjab Emergency Services (DEMO),DEMO
Quetta Fire Unit 013 (DEMO),Fire Unit,30.165537,66.965262,fire suppression,fire hose|water tank|fire suppression equipment,5,Balochistan Emergency Services (DEMO),DEMO
