name,district,taluka,facility_type,latitude,longitude,emergency_beds,icu_beds,trauma_capacity,ownership,status,source_name,source_url,trust_level,last_verified
Swat General Hospital 01 (DEMO),Swat,Swat,General Hospital,35.217602,72.433278,50,8,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Swat Central Hospital 02 (DEMO),Swat,Swat,Tertiary Care Hospital,35.207002,72.426687,20,15,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Swat Medical Center 03 (DEMO),Swat,Swat,General Hospital,35.232902,72.411529,80,8,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Kohat Trauma Center 01 (DEMO),Kohat,Kohat,Trauma Center,33.563686,71.428403,25,4,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Kohat Trauma Center 02 (DEMO),Kohat,Kohat,Trauma Center,33.590996,71.466976,20,20,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Kohat Medical Center 03 (DEMO),Kohat,Kohat,General Hospital,33.5844,71.439218,60,4,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Dera Ismail Khan General Hospital 01 (DEMO),Dera Ismail Khan,Dera Ismail Khan,General Hospital,31.852866,70.908585,60,15,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Dera Ismail Khan General Hospital 02 (DEMO),Dera Ismail Khan,Dera Ismail Khan,General Hospital,31.846103,70.888537,20,6,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Dera Ismail Khan Central Hospital 03 (DEMO),Dera Ismail Khan,Dera Ismail Khan,Tertiary Care Hospital,31.835114,70.90007,30,12,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Khyber Pakhtunkhwa,N/A - dummy data,DEMO,N/A (synthetic)
Quetta Central Hospital 01 (DEMO),Quetta,Quetta,Tertiary Care Hospital,30.174708,66.985847,20,8,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Quetta Trauma Center 02 (DEMO),Quetta,Quetta,Trauma Center,30.195967,66.953688,80,10,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Quetta Central Hospital 03 (DEMO),Quetta,Quetta,Tertiary Care Hospital,30.188805,66.967226,40,10,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Gwadar General Hospital 01 (DEMO),Gwadar,Gwadar,General Hospital,25.146936,62.300271,40,12,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Gwadar General Hospital 02 (DEMO),Gwadar,Gwadar,General Hospital,25.109498,62.344237,30,6,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Gwadar Medical Center 03 (DEMO),Gwadar,Gwadar,General Hospital,25.143697,62.31003,50,8,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Turbat General Hospital 01 (DEMO),Turbat,Turbat,General Hospital,26.008021,63.039671,60,8,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Turbat General Hospital 02 (DEMO),Turbat,Turbat,General Hospital,26.008524,63.0801,25,15,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Turbat Central Hospital 03 (DEMO),Turbat,Turbat,Tertiary Care Hospital,25.978719,63.037273,80,20,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Khuzdar General Hospital 01 (DEMO),Khuzdar,Khuzdar,General Hospital,27.795829,66.62365,80,12,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Khuzdar Medical Center 02 (DEMO),Khuzdar,Khuzdar,General Hospital,27.799147,66.631934,60,8,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Khuzdar Medical Center 03 (DEMO),Khuzdar,Khuzdar,General Hospital,27.809431,66.599604,40,4,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Balochistan,N/A - dummy data,DEMO,N/A (synthetic)
Islamabad Trauma Center 01 (DEMO),Islamabad,Islamabad,Trauma Center,33.67641,73.030083,40,6,HIGH,Private,OPERATIONAL,Synthetic national hospital network - ICT,N/A - dummy data,DEMO,N/A (synthetic)
Islamabad Medical Center 02 (DEMO),Islamabad,Islamabad,General Hospital,33.697433,73.048649,40,6,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - ICT,N/A - dummy data,DEMO,N/A (synthetic)
Islamabad Medical Center 03 (DEMO),Islamabad,Islamabad,General Hospital,33.665526,73.04538,25,10,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - ICT,N/A - dummy data,DEMO,N/A (synthetic)
Islamabad Central Hospital 04 (DEMO),Islamabad,Islamabad,Tertiary Care Hospital,33.706669,73.066108,20,8,HIGH,Private,OPERATIONAL,Synthetic national hospital network - ICT,N/A - dummy data,DEMO,N/A (synthetic)
Muzaffarabad General Hospital 01 (DEMO),Muzaffarabad,Muzaffarabad,General Hospital,34.385674,73.492788,80,6,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - AJK,N/A - dummy data,DEMO,N/A (synthetic)
Muzaffarabad General Hospital 02 (DEMO),Muzaffarabad,Muzaffarabad,General Hospital,34.369913,73.471836,80,6,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - AJK,N/A - dummy data,DEMO,N/A (synthetic)
Muzaffarabad Medical Center 03 (DEMO),Muzaffarabad,Muzaffarabad,General Hospital,34.349502,73.465762,40,4,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - AJK,N/A - dummy data,DEMO,N/A (synthetic)
Gilgit General Hospital 01 (DEMO),Gilgit,Gilgit,General Hospital,35.913445,74.286127,25,12,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Gilgit-Baltistan,N/A - dummy data,DEMO,N/A (synthetic)
Gilgit Trauma Center 02 (DEMO),Gilgit,Gilgit,Trauma Center,35.896209,74.288975,30,12,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Gilgit-Baltistan,N/A - dummy data,DEMO,N/A (synthetic)
Gilgit Medical Center 03 (DEMO),Gilgit,Gilgit,General Hospital,35.933993,74.301897,60,8,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Gilgit-Baltistan,N/A - dummy data,DEMO,N/A (synthetic)
Skardu Central Hospital 01 (DEMO),Skardu,Skardu,Tertiary Care Hospital,35.281833,75.635961,50,12,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Gilgit-Baltistan,N/A - dummy data,DEMO,N/A (synthetic)
Skardu Trauma Center 02 (DEMO),Skardu,Skardu,Trauma Center,35.31032,75.622286,50,10,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Gilgit-Baltistan,N/A - dummy data,DEMO,N/A (synthetic)
Skardu General Hospital 03 (DEMO),Skardu,Skardu,General Hospital,35.29076,75.657639,20,10,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Gilgit-Baltistan,N/A - dummy data,DEMO,N/A (synthetic)
